Табельный номер,Фамилия И. О.,Пол,Год рождения,Начало работы (год),Подразделение,Должность,Оклад,Количество выполненных проектов
294,М. К. Шубунов,М,1992,2012,Аэрометрические системы воздушных сигналов,Бухгалтер,55778,11
295,И. Ю. Пургаев,М,1974,1994,Информационно-управляющие системы для самолетов,Техник,59590,11
296,И. В. Яфаев,М,1966,1986,Системы автоматизированного управления наземной техникой,Бухгалтер,20416,16
297,В. С. Пинашин,М,1979,1999,Аэрометрические системы воздушных сигналов,Начальник отдела,45212,14
298,О. В. Варналев,М,1991,2011,Аэрометрические системы воздушных сигналов,Экономист,26757,1
299,И. А. Шеругин,М,1993,2013,Отдел охраны труда,Экономист,27515,5
300,С. М. Калиничаев,М,1977,1997,Аэрометрические системы воздушных сигналов,Начальник ТКБ,50979,9
301,И. Т. Бахтиаров,М,1986,2006,Информационно-управляющие системы для вертолетов,Начальник отдела,49031,11
302,В. М. Косогов,М,1992,2012,Отдел охраны труда,Бухгалтер,39253,1
303,Б. Е. Забабахин,М,1995,2015,Информационно-управляющие системы для вертолетов,Начальник ТКБ,31842,18
304,Я. Ф. Мозхеорин,М,1965,1985,Аэрометрические системы воздушных сигналов,Инженер-исследователь,20331,4
305,И. А. Гамазулин,М,1977,1997,Информационно-управляющие системы для вертолетов,Начальник ТКБ,55490,3
306,Р. О. Лавеченков,М,1988,2008,Информационно-управляющие системы для самолетов,Инженер-программист,57778,5
307,Э. Б. Болганов,М,1995,2015,Информационно-управляющие системы для самолетов,Бухгалтер,29321,5
308,В. И. Рзянкин,М,1995,2015,Аэрометрические системы воздушных сигналов,Инженер-программист,52404,2
309,В. А. Карпаухов,М,1976,1996,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,28617,19
310,М. Е. Рудоманов,М,2001,2021,Системы автоматизированного управления наземной техникой,Инженер,21260,10
311,Л. И. Поцеловкин,М,1996,2016,Отдел кадров,Начальник ТКБ,42308,5
312,А. В. Лучинкин,М,1976,1996,Отдел кадров,Начальник ТКБ,36430,1
313,Э. К. Спирков,М,1997,2017,Аэрометрические системы воздушных сигналов,Инженер-исследователь,59887,15
314,В. К. Сыроедов,М,1987,2007,Отдел кадров,Начальник отдела,41762,7
315,А. И. Лелехов,М,1974,1994,Радиоэлектронная аппаратура,Инженер,36667,2
316,В. П. Ракитников,М,1993,2013,Системы автоматизированного управления наземной техникой,Начальник ТКБ,28905,12
317,Г. Ф. Крыцын,М,1963,1983,Радиоэлектронная аппаратура,Инженер-исследователь,36527,20
318,Ф. Г. Карамавров,М,1969,1989,Информационно-управляющие системы для самолетов,Инженер-исследователь,34145,5
319,Е. П. Севарев,М,1997,2017,Отдел охраны труда,Экономист,58307,17
320,Э. Р. Мирзабаев,М,1970,1990,Информационно-управляющие системы для самолетов,Инженер,40707,8
321,Н. В. Малинов,М,1970,1990,Информационно-управляющие системы для самолетов,Инженер-программист,58145,19
322,В. П. Кожухин,М,1997,2017,Аэрометрические системы воздушных сигналов,Экономист,53276,3
323,Д. Н. Карагодин,М,1999,2019,Аэрометрические системы воздушных сигналов,Начальник ТКБ,36175,9
324,В. В. Савилин,М,1983,2003,Радиоэлектронная аппаратура,Начальник ТКБ,23480,13
325,А. Е. Васьков,М,1983,2003,Отдел кадров,Инженер-программист,53166,5
326,В. Я. Бескодаров,М,1961,1981,Информационно-управляющие системы для самолетов,Инженер-программист,37826,14
327,Т. Е. Шкодин,М,1974,1994,Проектирование и верификация программно-математического обеспечения,Бухгалтер,31000,2
328,Е. А. Халхунов,М,1990,2010,Радиоэлектронная аппаратура,Начальник отдела,56099,4
329,И. Г. Виляев,М,1973,1993,Радиоэлектронная аппаратура,Инженер-программист,50064,17
330,В. О. Садырев,М,1968,1988,Радиоэлектронная аппаратура,Бухгалтер,24726,18
331,Г. В. Колупалин,М,2000,2020,Проектирование и верификация программно-математического обеспечения,Экономист,50703,13
332,В. Е. Батюшин,М,1962,1982,Радиоэлектронная аппаратура,Начальник ТКБ,37938,1
333,С. Н. Сименюшкин,М,1987,2007,Информационно-управляющие системы для вертолетов,Начальник ТКБ,22887,15
334,Б. Ф. Енченков,М,1970,1990,Аэрометрические системы воздушных сигналов,Начальник отдела,42951,6
335,Е. И. Артамасов,М,1985,2005,Аэрометрические системы воздушных сигналов,Начальник ТКБ,36863,19
336,А. А. Аграфенов,М,1976,1996,Информационно-управляющие системы для самолетов,Экономист,59615,20
337,А. Д. Сукновский,М,1980,2000,Отдел охраны труда,Бухгалтер,49206,15
338,А. Д. Искендеров,М,1992,2012,Отдел охраны труда,Экономист,46488,7
339,Р. И. Крашников,М,1966,1986,Информационно-управляющие системы для вертолетов,Бухгалтер,44191,20
340,К. А. Варыпаев,М,1968,1988,Информационно-управляющие системы для самолетов,Экономист,29123,16
341,Д. В. Жерномов,М,1975,1995,Отдел охраны труда,Начальник отдела,44547,7
342,Л. М. Буторагин,М,1992,2012,Информационно-управляющие системы для самолетов,Бухгалтер,38613,18
343,Р. Д. Бажакин,М,1988,2008,Информационно-управляющие системы для вертолетов,Инженер-программист,35877,5
344,Г. Д. Ластовский,М,1989,2009,Радиоэлектронная аппаратура,Бухгалтер,27776,18
345,Д. Ю. Унтеров,М,1982,2002,Информационно-управляющие системы для самолетов,Инженер,45803,4
346,В. Е. Атрясин,М,1979,1999,Отдел охраны труда,Начальник отдела,27676,15
347,В. А. Канюшин,М,1993,2013,Информационно-управляющие системы для вертолетов,Инженер-программист,29616,4
348,Р. П. Сидичкин,М,1983,2003,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,46932,16
349,В. В. Орликов,М,1996,2016,Проектирование и верификация программно-математического обеспечения,Инженер,50093,3
350,А. В. Чирский,М,2000,2020,Системы автоматизированного управления наземной техникой,Бухгалтер,36537,4
351,М. Б. Барнацкий,М,1996,2016,Радиоэлектронная аппаратура,Инженер-исследователь,57712,5
352,Ф. Б. Тюргашкин,М,1980,2000,Информационно-управляющие системы для вертолетов,Инженер,25480,15
353,В. Г. Коблянский,М,2000,2020,Информационно-управляющие системы для самолетов,Инженер-исследователь,36976,6
354,Я. В. Смердягин,М,1979,1999,Информационно-управляющие системы для самолетов,Начальник отдела,53347,2
355,А. Ю. Боклыков,М,2001,2021,Информационно-управляющие системы для самолетов,Экономист,42641,3
356,Р. Г. Бутолин,М,1997,2017,Системы автоматизированного управления наземной техникой,Инженер,51720,14
357,С. А. Хужоков,М,2000,2020,Системы автоматизированного управления наземной техникой,Инженер-программист,54548,11
358,А. Р. Гравчиков,М,1989,2009,Радиоэлектронная аппаратура,Бухгалтер,23259,16
359,А. Ю. Понеделков,М,1987,2007,Отдел охраны труда,Инженер-исследователь,56680,9
360,В. Г. Шеншев,М,1965,1985,Системы автоматизированного управления наземной техникой,Экономист,21244,4
361,В. Я. Весенский,М,1973,1993,Информационно-управляющие системы для самолетов,Инженер-программист,50042,4
362,Г. Б. Чупяков,М,1967,1987,Радиоэлектронная аппаратура,Инженер,45845,1
363,К. А. Мудряков,М,1963,1983,Системы автоматизированного управления наземной техникой,Начальник отдела,41533,18
364,В. Ф. Семигин,М,1962,1982,Проектирование и верификация программно-математического обеспечения,Инженер-программист,32590,6
365,А. Ф. Гурченков,М,1992,2012,Проектирование и верификация программно-математического обеспечения,Экономист,57485,5
366,А. Б. Хватьков,М,1976,1996,Информационно-управляющие системы для самолетов,Экономист,44833,8
367,Г. С. Ментьев,М,2001,2021,Аэрометрические системы воздушных сигналов,Начальник ТКБ,30441,13
368,Д. Н. Курбалиев,М,1970,1990,Информационно-управляющие системы для вертолетов,Инженер-программист,33806,7
369,А. В. Имуков,М,1995,2015,Отдел кадров,Начальник ТКБ,33932,15
370,В. А. Хромецков,М,1961,1981,Отдел охраны труда,Начальник ТКБ,51370,6
371,В. С. Музылев,М,1968,1988,Информационно-управляющие системы для вертолетов,Техник,59120,1
372,Н. Е. Шадурский,М,1975,1995,Системы автоматизированного управления наземной техникой,Начальник ТКБ,48212,3
373,С. Л. Саконтиков,М,1985,2005,Отдел охраны труда,Начальник отдела,57077,9
374,К. П. Гневышев,М,1991,2011,Информационно-управляющие системы для вертолетов,Начальник ТКБ,38616,12
375,В. А. Кужеватов,М,1993,2013,Аэрометрические системы воздушных сигналов,Инженер-программист,49334,6
376,В. Б. Гундеров,М,1981,2001,Информационно-управляющие системы для вертолетов,Инженер,31341,1
377,А. Ю. Сизьков,М,1974,1994,Системы автоматизированного управления наземной техникой,Экономист,54548,16
378,П. Д. Бедикин,М,1989,2009,Отдел кадров,Экономист,40847,18
379,Я. П. Кабельков,М,1973,1993,Отдел кадров,Инженер,29332,16
380,В. А. Эмиров,М,1965,1985,Отдел охраны труда,Инженер,41470,12
381,Е. Т. Боготов,М,1990,2010,Отдел охраны труда,Инженер-программист,52081,5
382,В. Н. Делов,М,1982,2002,Информационно-управляющие системы для самолетов,Экономист,31245,7
383,А. М. Петровнин,М,1989,2009,Системы автоматизированного управления наземной техникой,Начальник отдела,32038,1
384,Г. Н. Митницкий,М,1997,2017,Радиоэлектронная аппаратура,Техник,29797,18
385,Г. В. Архимонов,М,1964,1984,Аэрометрические системы воздушных сигналов,Начальник отдела,38029,20
386,П. А. Ромаичев,М,1976,1996,Радиоэлектронная аппаратура,Начальник ТКБ,31633,5
387,С. О. Потолоков,М,1966,1986,Отдел кадров,Начальник ТКБ,46833,11
388,В. Т. Кирягин,М,1974,1994,Отдел кадров,Экономист,21044,17
389,Д. М. Забитов,М,1991,2011,Отдел кадров,Начальник ТКБ,26934,16
390,Г. И. Беркаусов,М,1970,1990,Информационно-управляющие системы для вертолетов,Техник,29621,9
391,П. Д. Загвоздин,М,1977,1997,Проектирование и верификация программно-математического обеспечения,Техник,46693,1
392,В. К. Робинов,М,1987,2007,Отдел кадров,Техник,54914,9
393,А. Т. Жирнов,М,1981,2001,Отдел кадров,Экономист,42806,12
394,А. Б. Сетюков,М,1970,1990,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,28410,16
395,А. А. Люлюшин,М,1979,1999,Информационно-управляющие системы для вертолетов,Бухгалтер,27992,8
396,В. А. Хамзинов,М,2001,2021,Радиоэлектронная аппаратура,Начальник отдела,46251,4
397,А. Р. Свирчинков,М,1972,1992,Системы автоматизированного управления наземной техникой,Начальник ТКБ,57196,7
398,Р. Г. Рачковский,М,1988,2008,Информационно-управляющие системы для самолетов,Инженер-исследователь,31230,15
399,Г. Р. Кострин,М,1974,1994,Аэрометрические системы воздушных сигналов,Инженер-программист,36823,15
400,А. К. Обысов,М,1974,1994,Отдел кадров,Начальник отдела,35463,16
401,А. Г. Шамурин,М,1994,2014,Радиоэлектронная аппаратура,Инженер-исследователь,20598,13
402,Г. И. Ритьков,М,1991,2011,Отдел охраны труда,Начальник ТКБ,50955,10
403,А. Е. Бабнищев,М,1991,2011,Информационно-управляющие системы для вертолетов,Бухгалтер,42849,9
404,Б. Д. Ночуйкин,М,1977,1997,Проектирование и верификация программно-математического обеспечения,Начальник отдела,50476,16
405,Е. А. Шляпотин,М,1973,1993,Радиоэлектронная аппаратура,Техник,47018,17
406,В. П. Кулапин,М,1962,1982,Информационно-управляющие системы для вертолетов,Инженер-исследователь,34910,11
407,Ю. Д. Листопадов,М,1978,1998,Системы автоматизированного управления наземной техникой,Инженер-исследователь,22868,1
408,В. Б. Особенков,М,1993,2013,Системы автоматизированного управления наземной техникой,Экономист,58772,19
409,П. Л. Цурбанов,М,1964,1984,Отдел кадров,Техник,50795,18
410,А. Ф. Травкин,М,1983,2003,Информационно-управляющие системы для самолетов,Инженер,58274,4
411,С. Р. Норинов,М,1981,2001,Отдел кадров,Начальник ТКБ,28900,3
412,А. Г. Канушкин,М,1971,1991,Системы автоматизированного управления наземной техникой,Инженер-исследователь,26601,3
413,В. Т. Кнопов,М,1988,2008,Отдел охраны труда,Инженер-программист,25165,11
414,К. Ю. Косорукин,М,1981,2001,Системы автоматизированного управления наземной техникой,Инженер,26916,9
415,В. Н. Янов,М,1975,1995,Аэрометрические системы воздушных сигналов,Начальник ТКБ,45658,14
416,Г. А. Халимулин,М,1999,2019,Отдел охраны труда,Бухгалтер,33223,5
417,Р. Ф. Воложенин,М,1985,2005,Отдел кадров,Бухгалтер,59493,12
418,И. В. Шляхтин,М,2001,2021,Отдел охраны труда,Начальник ТКБ,25075,9
419,А. Н. Тоболов,М,1999,2019,Отдел охраны труда,Инженер-программист,51486,10
420,А. О. Колтаков,М,1990,2010,Проектирование и верификация программно-математического обеспечения,Инженер-программист,20312,20
421,М. В. Кисьянцев,М,1979,1999,Отдел охраны труда,Инженер,58135,4
422,В. Б. Бляшов,М,1987,2007,Информационно-управляющие системы для самолетов,Начальник отдела,30332,20
423,В. Л. Шарковский,М,1972,1992,Информационно-управляющие системы для самолетов,Инженер-программист,45225,4
424,Н. Р. Сизионов,М,2001,2021,Системы автоматизированного управления наземной техникой,Техник,57237,13
425,И. Д. Палченков,М,2001,2021,Информационно-управляющие системы для самолетов,Инженер-исследователь,50206,6
426,Я. И. Жавинский,М,1978,1998,Информационно-управляющие системы для самолетов,Инженер-программист,49275,3
427,Н. Л. Поволоцкий,М,1961,1981,Аэрометрические системы воздушных сигналов,Техник,25221,8
428,А. Ю. Путров,М,1986,2006,Отдел охраны труда,Инженер,44825,16
429,С. В. Голодяев,М,1983,2003,Аэрометрические системы воздушных сигналов,Начальник ТКБ,43855,8
430,М. В. Аврелин,М,1971,1991,Информационно-управляющие системы для самолетов,Экономист,39631,2
431,В. К. Погибалов,М,1980,2000,Отдел охраны труда,Бухгалтер,34002,17
432,Ю. Р. Лепчиков,М,1979,1999,Информационно-управляющие системы для самолетов,Начальник ТКБ,32333,1
433,С. Я. Шкуркин,М,1962,1982,Отдел кадров,Инженер,48559,16
434,Я. Ю. Сегренев,М,1972,1992,Информационно-управляющие системы для самолетов,Инженер-программист,33551,10
435,Р. В. Вергенов,М,1961,1981,Системы автоматизированного управления наземной техникой,Бухгалтер,36832,5
436,И. П. Финаев,М,1990,2010,Отдел кадров,Инженер-исследователь,55094,15
437,Я. В. Бугакин,М,1969,1989,Системы автоматизированного управления наземной техникой,Инженер-исследователь,57809,4
438,В. Л. Пиваков,М,1975,1995,Радиоэлектронная аппаратура,Инженер,54238,18
439,С. А. Цуркин,М,1996,2016,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,46200,20
440,Г. И. Хрущев,М,2000,2020,Отдел охраны труда,Начальник отдела,23815,18
441,Г. П. Галимуллин,М,1981,2001,Отдел охраны труда,Инженер-исследователь,42154,10
442,Т. Е. Шеботин,М,1987,2007,Радиоэлектронная аппаратура,Инженер-исследователь,33335,5
443,Ф. Ю. Неровнов,М,1971,1991,Проектирование и верификация программно-математического обеспечения,Бухгалтер,33802,20
444,П. Е. Мамедханов,М,1969,1989,Информационно-управляющие системы для самолетов,Инженер-программист,27133,10
445,М. Ф. Окрочков,М,1999,2019,Аэрометрические системы воздушных сигналов,Экономист,29183,3
446,А. Т. Перкурин,М,1987,2007,Информационно-управляющие системы для самолетов,Инженер-исследователь,43624,14
447,В. Я. Неронов,М,1979,1999,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,21364,14
448,Е. О. Бурышев,М,1977,1997,Аэрометрические системы воздушных сигналов,Техник,22636,7
449,И. А. Рухмаков,М,1979,1999,Системы автоматизированного управления наземной техникой,Бухгалтер,39817,14
450,В. И. Юлдашкин,М,1970,1990,Проектирование и верификация программно-математического обеспечения,Начальник отдела,34605,2
451,С. Я. Ежегодов,М,1969,1989,Аэрометрические системы воздушных сигналов,Инженер-программист,29489,3
452,А. М. Маркалов,М,1994,2014,Проектирование и верификация программно-математического обеспечения,Инженер,32235,17
453,В. А. Тактаров,М,1969,1989,Информационно-управляющие системы для вертолетов,Инженер-исследователь,52523,1
454,В. А. Давыдцев,М,1968,1988,Системы автоматизированного управления наземной техникой,Бухгалтер,37283,11
455,Г. М. Кантимиров,М,1972,1992,Информационно-управляющие системы для вертолетов,Начальник отдела,33083,6
456,В. Ю. Никитьев,М,1981,2001,Отдел кадров,Начальник отдела,44452,3
457,К. В. Верстов,М,1999,2019,Радиоэлектронная аппаратура,Инженер,32246,14
458,О. Г. Борцев,М,1970,1990,Радиоэлектронная аппаратура,Бухгалтер,51276,12
459,В. Т. Перошкиев,М,1988,2008,Отдел охраны труда,Начальник ТКБ,50020,12
460,Я. Г. Усков,М,1980,2000,Отдел кадров,Начальник ТКБ,35481,1
461,К. В. Рафальский,М,1984,2004,Отдел кадров,Начальник ТКБ,35717,10
462,В. Л. Шигорев,М,2001,2021,Информационно-управляющие системы для вертолетов,Техник,36368,15
463,Н. И. Горденков,М,1964,1984,Отдел кадров,Инженер-исследователь,32472,8
464,А. К. Передков,М,1970,1990,Проектирование и верификация программно-математического обеспечения,Техник,43121,16
465,В. А. Тараданов,М,1972,1992,Информационно-управляющие системы для вертолетов,Техник,37425,15
466,Г. Н. Балабашин,М,1993,2013,Отдел кадров,Инженер-исследователь,39269,5
467,Т. М. Чуруксаев,М,1974,1994,Аэрометрические системы воздушных сигналов,Экономист,55757,13
468,С. М. Пехтелев,М,1971,1991,Информационно-управляющие системы для самолетов,Инженер,25726,19
469,М. А. Тушкарев,М,2000,2020,Радиоэлектронная аппаратура,Инженер-исследователь,20445,2
470,Л. А. Тулеуов,М,1974,1994,Отдел охраны труда,Начальник отдела,34114,7
471,Д. А. Агукин,М,1993,2013,Радиоэлектронная аппаратура,Инженер-программист,37742,17
472,М. Ю. Бороздинов,М,1965,1985,Проектирование и верификация программно-математического обеспечения,Инженер,37682,17
473,М. О. Разнатов,М,1984,2004,Отдел охраны труда,Техник,51902,15
474,В. А. Шемятенков,М,1998,2018,Отдел кадров,Начальник ТКБ,35077,20
475,Б. Ю. Негрустуев,М,2000,2020,Аэрометрические системы воздушных сигналов,Техник,34812,2
476,К. Т. Ликсанин,М,1964,1984,Отдел кадров,Инженер-исследователь,55763,18
477,Д. А. Рубчинский,М,1983,2003,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,40939,3
478,П. Я. Урюпин,М,1979,1999,Системы автоматизированного управления наземной техникой,Начальник отдела,26088,3
479,В. Л. Портенков,М,2000,2020,Информационно-управляющие системы для самолетов,Начальник отдела,57858,17
480,Р. Ю. Аллятдинов,М,1995,2015,Аэрометрические системы воздушных сигналов,Инженер-программист,40169,19
481,А. М. Жнивин,М,1963,1983,Информационно-управляющие системы для вертолетов,Начальник отдела,26778,7
482,А. В. Костаринов,М,1994,2014,Аэрометрические системы воздушных сигналов,Инженер-исследователь,46322,19
483,С. В. Шеришорин,М,1980,2000,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,20223,6
484,С. Ф. Кожемянин,М,1994,2014,Аэрометрические системы воздушных сигналов,Начальник ТКБ,46448,16
485,В. Р. Уарев,М,1962,1982,Аэрометрические системы воздушных сигналов,Экономист,42103,11
486,Д. Л. Воротников,М,1964,1984,Информационно-управляющие системы для самолетов,Инженер-программист,27103,5
487,Д. Р. Даничев,М,1983,2003,Проектирование и верификация программно-математического обеспечения,Инженер-программист,32205,5
488,А. Н. Черноморов,М,2000,2020,Системы автоматизированного управления наземной техникой,Экономист,49488,20
489,А. А. Пащин,М,1963,1983,Аэрометрические системы воздушных сигналов,Начальник отдела,46519,3
490,С. Т. Скулов,М,1990,2010,Проектирование и верификация программно-математического обеспечения,Техник,21222,6
491,Т. Т. Сузальцев,М,1977,1997,Аэрометрические системы воздушных сигналов,Начальник отдела,25912,1
492,Т. В. Полюшкин,М,1969,1989,Отдел кадров,Начальник отдела,43576,18
493,В. В. Бочарин,М,1968,1988,Информационно-управляющие системы для самолетов,Начальник отдела,47737,9
494,Е. Я. Чульгин,М,1993,2013,Радиоэлектронная аппаратура,Бухгалтер,28629,10
495,А. Д. Выходов,М,1977,1997,Отдел кадров,Экономист,30979,8
496,В. Г. Платнов,М,1964,1984,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,51313,8
497,В. Я. Яганов,М,1996,2016,Отдел охраны труда,Бухгалтер,30105,18
498,Р. В. Гребцов,М,1993,2013,Аэрометрические системы воздушных сигналов,Инженер-программист,51845,3
499,Р. Г. Зикеин,М,1986,2006,Радиоэлектронная аппаратура,Инженер-исследователь,29258,9
500,В. А. Жупанов,М,1970,1990,Аэрометрические системы воздушных сигналов,Начальник ТКБ,55373,18
501,В. Ю. Дормаков,М,1962,1982,Отдел охраны труда,Инженер,47835,5
502,А. И. Цыцаркин,М,1986,2006,Проектирование и верификация программно-математического обеспечения,Начальник отдела,37891,13
503,В. В. Едский,М,2000,2020,Системы автоматизированного управления наземной техникой,Инженер-исследователь,50700,2
504,К. П. Бежин,М,1976,1996,Информационно-управляющие системы для самолетов,Бухгалтер,24066,1
505,Н. Г. Кушнин,М,1991,2011,Отдел охраны труда,Экономист,40623,6
506,В. Н. Вахрущев,М,1982,2002,Информационно-управляющие системы для вертолетов,Начальник ТКБ,35835,11
507,В. А. Подласов,М,1988,2008,Информационно-управляющие системы для самолетов,Техник,30922,16
508,А. Л. Искияев,М,1994,2014,Информационно-управляющие системы для вертолетов,Экономист,24710,13
509,А. П. Пурсанов,М,1966,1986,Информационно-управляющие системы для самолетов,Техник,29468,10
510,В. В. Шульников,М,1974,1994,Отдел охраны труда,Инженер-программист,22862,7
511,В. Ю. Шигорин,М,1974,1994,Системы автоматизированного управления наземной техникой,Экономист,37211,4
512,С. П. Шуршалев,М,2000,2020,Информационно-управляющие системы для вертолетов,Начальник отдела,51527,7
513,С. А. Сулимин,М,1967,1987,Отдел кадров,Инженер-исследователь,38596,6
514,В. Е. Гречищев,М,1975,1995,Аэрометрические системы воздушных сигналов,Начальник отдела,43531,12
515,М. О. Нахутин,М,1971,1991,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,47383,5
516,А. А. Мухамадиев,М,1979,1999,Информационно-управляющие системы для вертолетов,Инженер-исследователь,31629,18
517,Д. Д. Сопонов,М,2001,2021,Радиоэлектронная аппаратура,Инженер-исследователь,39846,19
518,А. Р. Хритин,М,1984,2004,Системы автоматизированного управления наземной техникой,Начальник отдела,53371,19
519,Я. И. Бурстин,М,1969,1989,Отдел охраны труда,Инженер-исследователь,55605,13
520,Н. А. Трюков,М,1998,2018,Радиоэлектронная аппаратура,Начальник отдела,43831,12
521,П. Ф. Потутков,М,1980,2000,Проектирование и верификация программно-математического обеспечения,Начальник отдела,31714,5
522,О. Р. Булгарцев,М,1995,2015,Информационно-управляющие системы для самолетов,Инженер,49352,9
523,В. Н. Алтышкин,М,1983,2003,Информационно-управляющие системы для самолетов,Инженер,20792,16
524,И. В. Брильков,М,1965,1985,Проектирование и верификация программно-математического обеспечения,Инженер-программист,50573,8
525,Ю. Т. Брыскин,М,1995,2015,Информационно-управляющие системы для вертолетов,Начальник ТКБ,28174,15
526,В. П. Халипский,М,1989,2009,Аэрометрические системы воздушных сигналов,Инженер,37490,11
527,Д. М. Балакшин,М,2001,2021,Радиоэлектронная аппаратура,Начальник отдела,55135,20
528,В. А. Гостяев,М,1994,2014,Аэрометрические системы воздушных сигналов,Инженер-программист,40776,20
529,Е. И. Дуленов,М,1983,2003,Радиоэлектронная аппаратура,Экономист,59827,17
530,Т. И. Черетаев,М,1984,2004,Проектирование и верификация программно-математического обеспечения,Инженер,37879,4
531,Н. А. Опалов,М,1984,2004,Информационно-управляющие системы для самолетов,Инженер-программист,24429,4
532,В. А. Фардзинов,М,1999,2019,Отдел охраны труда,Бухгалтер,54392,18
533,И. Ю. Волкоедов,М,1997,2017,Радиоэлектронная аппаратура,Инженер-исследователь,36609,9
534,П. Ю. Сплошнов,М,1990,2010,Отдел кадров,Инженер,43681,1
535,М. Е. Зерюкаев,М,1962,1982,Отдел охраны труда,Начальник отдела,48689,16
536,А. Б. Бугринов,М,1979,1999,Аэрометрические системы воздушных сигналов,Начальник отдела,50989,3
537,Ю. Т. Армаганов,М,1983,2003,Информационно-управляющие системы для вертолетов,Техник,24246,8
538,И. Я. Шмырков,М,1992,2012,Отдел охраны труда,Начальник отдела,29047,1
539,К. Д. Туваев,М,1987,2007,Отдел охраны труда,Техник,41255,12
540,Р. Е. Фатиков,М,1972,1992,Отдел охраны труда,Начальник отдела,54756,20
541,А. Ю. Чеусов,М,1989,2009,Отдел охраны труда,Начальник ТКБ,45270,20
542,О. В. Цхурбаев,М,1970,1990,Аэрометрические системы воздушных сигналов,Бухгалтер,55685,8
543,А. А. Шумяцкий,М,1997,2017,Информационно-управляющие системы для вертолетов,Инженер-программист,30843,7
544,Н. Г. Резин,М,1970,1990,Отдел охраны труда,Бухгалтер,49557,16
545,Р. Ю. Синайский,М,1977,1997,Аэрометрические системы воздушных сигналов,Инженер,51905,7
546,А. В. Трушев,М,1992,2012,Проектирование и верификация программно-математического обеспечения,Техник,36716,16
547,А. С. Тешебаев,М,1963,1983,Отдел кадров,Инженер,53864,11
548,Д. В. Синелин,М,1993,2013,Аэрометрические системы воздушных сигналов,Начальник ТКБ,41791,11
549,В. К. Мартяшкин,М,1976,1996,Радиоэлектронная аппаратура,Бухгалтер,49881,5
550,В. Ю. Трейнов,М,1970,1990,Системы автоматизированного управления наземной техникой,Инженер-исследователь,55146,15
551,С. С. Бикчактаев,М,1962,1982,Информационно-управляющие системы для самолетов,Инженер,41956,6
552,В. А. Камилов,М,1966,1986,Системы автоматизированного управления наземной техникой,Начальник отдела,31826,12
553,Г. Ф. Мысирин,М,1992,2012,Отдел кадров,Инженер,50776,1
554,В. А. Прытов,М,1971,1991,Информационно-управляющие системы для самолетов,Инженер-программист,37088,16
555,Т. В. Кин,М,1961,1981,Радиоэлектронная аппаратура,Инженер-исследователь,40004,14
556,Е. И. Пятибеков,М,1998,2018,Системы автоматизированного управления наземной техникой,Инженер-исследователь,48032,10
557,Г. А. Каравашкин,М,1971,1991,Отдел кадров,Экономист,29962,19
558,С. А. Машнев,М,1987,2007,Радиоэлектронная аппаратура,Начальник отдела,29131,5
559,Я. П. Ахеджаков,М,1965,1985,Радиоэлектронная аппаратура,Инженер-исследователь,21243,6
560,К. Г. Ховансков,М,1995,2015,Проектирование и верификация программно-математического обеспечения,Инженер-программист,30440,7
561,И. О. Кланцов,М,1990,2010,Информационно-управляющие системы для вертолетов,Начальник ТКБ,35616,2
562,В. П. Бертляев,М,1966,1986,Проектирование и верификация программно-математического обеспечения,Инженер,32954,13
563,И. Н. Задвинский,М,1987,2007,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,34487,18
564,В. Ю. Назоев,М,1993,2013,Отдел охраны труда,Инженер,58258,15
565,А. Н. Неведров,М,1970,1990,Информационно-управляющие системы для самолетов,Начальник ТКБ,56838,1
566,А. А. Удов,М,1963,1983,Информационно-управляющие системы для самолетов,Начальник отдела,26571,8
567,Е. К. Катышков,М,1964,1984,Информационно-управляющие системы для самолетов,Начальник отдела,29365,15
568,И. О. Ежов,М,2000,2020,Радиоэлектронная аппаратура,Техник,29819,10
569,Г. П. Гуравский,М,1988,2008,Отдел кадров,Инженер,34282,1
570,Т. Н. Халдинов,М,1972,1992,Информационно-управляющие системы для самолетов,Инженер,42012,4
571,Я. Г. Шелагуров,М,1968,1988,Информационно-управляющие системы для вертолетов,Инженер-исследователь,46351,18
572,М. А. Угадчиков,М,1971,1991,Информационно-управляющие системы для самолетов,Инженер-исследователь,44664,15
573,Р. Ю. Якимов,М,1970,1990,Аэрометрические системы воздушных сигналов,Техник,56655,4
574,В. Д. Крапилин,М,1975,1995,Отдел охраны труда,Экономист,59644,19
575,И. Я. Шесталов,М,1999,2019,Информационно-управляющие системы для самолетов,Техник,56605,20
576,К. В. Мишеев,М,1994,2014,Отдел охраны труда,Бухгалтер,40728,17
577,В. Ф. Цыгаркин,М,1976,1996,Системы автоматизированного управления наземной техникой,Инженер-исследователь,30094,14
